Model,lam,Lookback,n1,Ann.Ret,Sharpe,CVaR(5%),MDD,Calmar,HHI
DFL-MDD,0.5,252,0.1,0.06529637080154993,0.438154583688999,0.026773190074096325,0.3836528689259702,1.6715355975809605,0.2971512962211954
DFL-MDD,0.5,252,0.2,0.09487645745922513,0.5984108457121678,0.02545244841284303,0.36959883700126295,2.797743648606928,0.33357782503391836
DFL-MDD,0.5,252,0.3,0.07681279465185398,0.49261681583744493,0.027121914943810953,0.4007182675284854,1.960282418248333,0.35233178639665563
DFL-MDD,0.5,252,0.4,0.08136289057186041,0.5241968391702877,0.026076179318487207,0.37135124539879716,2.276771334760858,0.3993734749073678
DFL-MDD,0.5,504,0.1,0.06321660223787062,0.42902077787222076,0.02598326646592807,0.37130462756394883,1.6599741088800457,0.2849965194596889
DFL-MDD,0.5,504,0.2,0.054143009061964786,0.37854003568553074,0.02669962141540913,0.3975534992228008,1.2863699956439052,0.3168803519232476
DFL-MDD,0.5,504,0.3,0.07387319026523675,0.485562872062967,0.026008039985010584,0.357693226296566,2.0903193847079837,0.3449960556277569
DFL-MDD,0.5,504,0.4,0.08231743780031753,0.5266696122437851,0.025567285687074424,0.35978245333299214,2.3855564556834756,0.4347094023956897
PTO-MDD,,252,0.1,0.09054660651868773,0.49819009746629617,0.03430445988746679,0.5267732118805025,1.844962713836558,0.861633098339695
PTO-MDD,,252,0.2,0.09293109165153712,0.5098503160955631,0.033914110985903585,0.5104503312333694,1.9706204754048204,0.8801015371214577
PTO-MDD,,252,0.3,0.08559958989204053,0.4765119214257358,0.034730522922807365,0.43906894181133094,2.0563614834024313,0.8808997470954941
PTO-MDD,,252,0.4,0.07380092388839476,0.43253549722046747,0.033707568695541736,0.47548837353875534,1.570536843537644,0.887812265475771
PTO-MDD,,504,0.1,0.023756718313001635,0.21908810275847146,0.038244748332547214,0.6991511014507485,0.2888038033261328,0.8499683797291809
PTO-MDD,,504,0.2,-0.036134507043765196,-0.005746481506692276,0.04263967920614842,0.8183595843997145,-0.30605007232692094,0.9010739216308322
PTO-MDD,,504,0.3,-0.00039938251711113537,0.12089148529277821,0.03880486376060415,0.7476382998928733,-0.004178799676597671,0.8173732064302818
PTO-MDD,,504,0.4,-0.0025767503683529203,0.11963171871155054,0.03973730932952144,0.7545641726946256,-0.02651561021023359,0.8404975283827593
PTO-MVO,,252,,0.0617627194686714,0.4335129402573528,0.025360992497837725,0.37785748445774825,1.585579255994406,0.12236368545398549
PTO-MVO,,504,,0.057333957180003114,0.4054359873584146,0.02564292307318012,0.38895459909171226,1.40790715303505,0.1188185177659198
