Model,lam,Lookback,n1,Ann.Ret,Sharpe,CVaR(5%),MDD,Calmar,HHI
DFL-MDD,0.5,252,0.1,0.08569594141277559,0.5423216402108341,0.026716484417468184,0.36886363917140597,2.4513335807420122,0.2971512962211954
DFL-MDD,0.5,252,0.2,0.11730593891588792,0.712695552885711,0.0253859656096226,0.3688636446061283,3.7526879017154067,0.33357782503391836
DFL-MDD,0.5,252,0.3,0.0966223122753882,0.591208106702074,0.0270765267421588,0.3972998944463297,2.66697385742309,0.35233178639665563
DFL-MDD,0.5,252,0.4,0.09885913634381671,0.6134369511561292,0.026019170040853967,0.3688636010605823,2.962414030607441,0.3993734749073678
DFL-MDD,0.5,504,0.1,0.08334263033196287,0.5327129039669839,0.025911372872244553,0.367801543624079,2.3711545413797817,0.2849965194596889
DFL-MDD,0.5,504,0.2,0.07410454525657184,0.4805236058502132,0.026611509129765475,0.37387274687829886,2.0077544830553298,0.3168803519232476
DFL-MDD,0.5,504,0.3,0.09692881117972685,0.603691300862949,0.02590161821148647,0.3563525633864916,2.9860931096495973,0.3449960556277569
DFL-MDD,0.5,504,0.4,0.10145804639431866,0.6233878881936823,0.02549099500567651,0.3563525497784515,3.1761034763615377,0.4347094023956897
PTO-MDD,,252,0.1,0.09157847158157773,0.502386264997007,0.03430273781441803,0.5246159642089107,1.8804983994054032,0.861633098339695
PTO-MDD,,252,0.2,0.09390156356250334,0.513819846217913,0.033912014837825605,0.5082212616103472,2.0068003630780193,0.8801015371214577
PTO-MDD,,252,0.3,0.08698808511529288,0.4821765315474911,0.034726637618363906,0.4364575386870906,2.112537336382052,0.8808997470954941
PTO-MDD,,252,0.4,0.07473280634358903,0.43646265929017125,0.03370394728281513,0.47380647543901017,1.601248506668893,0.887812265475771
PTO-MDD,,504,0.1,0.025027365739442198,0.2240742631771845,0.038242225892558726,0.6981948522867946,0.3060073149011228,0.8499683797291809
PTO-MDD,,504,0.2,-0.035078985932451845,-0.0015936698962692737,0.0426391181480549,0.8178705502522793,-0.2983420482466776,0.9010739216308322
PTO-MDD,,504,0.3,0.0008611143497563312,0.12606787187822027,0.03880364413655447,0.7466556682061078,0.009060769501390748,0.8173732064302818
PTO-MDD,,504,0.4,-0.0012751033190678829,0.1246739991447827,0.03973499311662225,0.7538463133809503,-0.013192214089580231,0.8404975283827593
PTO-MVO,,252,,0.06521134359353242,0.45221004530128645,0.025353903225834026,0.3772143515998132,1.6973467068562054,0.12236368545398549
PTO-MVO,,504,,0.05939666711602021,0.4164765611774668,0.025639236028516133,0.3886348949295266,1.4703270336462744,0.1188185177659198
